CODE_GENDER,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,Grouped_Housing_Type,OCCUPATION_TYPE,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,AGE,DAYS_EMPLOYED_CLEAN,label
F,State servant,Higher education,Married,House / apartment,Accountants,0,0,0,135000,-18197,-4418,1,0,0,2,50,12,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Realty agents,0,0,1,225000,-10448,-3392,1,1,1,3,29,9.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,0,1,1,85500,-16525,-859,1,0,0,3,45,2.5,0
M,Working,Incomplete higher,Married,House / apartment,Drivers,1,1,0,225000,-16462,-704,0,1,0,2,45,2,1
F,Commercial associate,Higher education,Married,House / apartment,Sales staff,1,1,0,135000,-20921,-113,0,0,0,2,57,0.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,2,202500,-12703,-3141,0,1,0,4,35,8.5,1
F,State servant,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,1,0,225000,-16765,-5777,0,0,0,1,46,16,0
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,0,1,135000,-9594,-866,0,0,0,3,26,2.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Managers,0,0,1,202500,-12047,-3443,0,0,0,3,33,9.5,0
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,0,2,130500,-10969,-163,0,0,1,4,30,0.5,0
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,1,0,2,157500,-13811,-378,1,1,0,4,38,1,1
F,Working,Secondary / secondary special,Widow,House / apartment,Core staff,0,1,0,360000,-18388,-7830,0,0,0,1,50,21.5,0
M,Working,Secondary / secondary special,Separated,House / apartment,Drivers,0,1,0,103500,-19632,-2208,1,0,0,1,54,6,0
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,0,1,0,112500,-19511,-3503,0,0,0,2,53,9.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,0,90000,-19084,-128,1,0,0,2,52,0.5,0
F,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,0,1,0,135000,-24449,-3056,0,1,0,2,67,8.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Managers,1,1,1,94500,-19780,-6849,0,0,0,3,54,19,0
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,0,0,180000,-20037,-2349,1,1,0,2,55,6.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,0,315000,-18981,-2960,0,0,0,2,52,8,1
F,State servant,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0,1,1,315000,-11206,-2514,0,0,1,3,31,7,0
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,1,1,0,117000,-17134,-1986,0,0,0,2,47,5.5,1
F,Working,Higher education,Married,House / apartment,Managers,0,0,0,270000,-17573,-5792,1,1,0,2,48,16,0
F,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Managers,0,0,0,189000,-16395,-523,0,0,0,2,45,1.5,1
F,Working,Higher education,Married,House / apartment,Laborers,0,0,3,112500,-12094,-3079,0,0,0,5,33,8.5,1
F,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,0,1,0,60376.5,-18304,-171,1,0,0,1,50,0.5,0
F,State servant,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0,1,2,90000,-12724,-2635,1,0,0,4,35,7,1
M,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,0,1,0,157500,-22120,-2250,0,0,0,2,61,6,1
M,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,1,1,2,180000,-13059,-4813,0,0,0,4,36,13,1
F,Working,Higher education,Married,House / apartment,Sales staff,0,1,0,238500,-20517,-2971,1,1,0,2,56,8,1
F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Core staff,0,0,0,99000,-16378,-370,1,0,0,1,45,1,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,0,0,0,144000,-16898,-7310,1,1,0,1,46,20,1
M,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,0,1,0,180000,-17844,-1095,0,0,0,1,49,3,1
F,Commercial associate,Secondary / secondary special,Married,Other,Laborers,0,1,1,135000,-11034,-2421,0,0,0,3,30,6.5,1
M,Working,Higher education,Married,House / apartment,Managers,1,1,1,180000,-14082,-1800,0,0,0,3,39,5,1
M,Working,Secondary / secondary special,Civil marriage,House / apartment,Core staff,1,0,0,270000,-18402,-714,1,0,0,2,50,2,1
M,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,1,0,315000,-17832,-134,1,1,0,1,49,0.5,1
F,State servant,Higher education,Married,House / apartment,Medicine staff,0,0,2,157500,-12636,-5345,0,0,0,4,35,14.5,0
M,Working,Higher education,Married,House / apartment,High skill tech staff,1,1,1,324000,-11296,-3181,1,1,0,3,31,8.5,1
M,Commercial associate,Secondary / secondary special,Separated,House / apartment,Managers,1,1,0,378000,-18570,-2805,0,1,0,1,51,7.5,1
F,Working,Higher education,Married,House / apartment,Laborers,1,1,0,180000,-20720,-7090,0,1,0,2,57,19.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,180000,-9868,-1221,1,1,0,2,27,3.5,1
M,Commercial associate,Higher education,Civil marriage,House / apartment,Drivers,1,1,0,157500,-13543,-1326,0,0,0,2,37,3.5,1
F,Working,Higher education,Married,Other,Accountants,1,0,1,135000,-11262,-563,0,0,1,3,31,1.5,1
F,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0,1,1,148500,-15083,-847,0,0,0,3,41,2.5,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,0,0,0,90000,-15382,-288,0,0,0,1,42,1,1
F,Commercial associate,Higher education,Separated,House / apartment,Managers,0,1,0,126000,-16236,-3000,0,0,0,1,44,8,1
M,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,1,0,157500,-14823,-961,0,0,0,1,41,2.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,0,2,157500,-9509,-2662,1,1,0,4,26,7.5,1
F,Commercial associate,Higher education,Married,House / apartment,Managers,0,1,2,360000,-10685,-1863,1,0,0,4,29,5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,1,1,225000,-11378,-867,0,1,0,3,31,2.5,1
F,Commercial associate,Incomplete higher,Married,House / apartment,Managers,0,1,1,135000,-10288,-2616,1,1,0,3,28,7,1
F,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,0,0,292500,-18698,-10758,0,0,0,2,51,29.5,1
F,Commercial associate,Higher education,Married,House / apartment,Waiters/barmen staff,0,1,1,67500,-9122,-1567,0,0,1,3,25,4.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,0,1,2,202500,-15792,-6237,1,1,0,4,43,17,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Cleaning staff,0,1,0,126000,-16092,-438,0,0,0,2,44,1,1
F,Working,Secondary / secondary special,Separated,House / apartment,High skill tech staff,0,1,0,324000,-16120,-1557,0,0,0,1,44,4.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,2,112500,-11875,-2568,1,0,0,4,33,7,1
M,State servant,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,1,0,180000,-9208,-2494,0,0,0,2,25,7,1
F,State servant,Secondary / secondary special,Civil marriage,House / apartment,Medicine staff,0,0,0,76500,-17308,-6224,1,1,0,2,47,17,1
F,Commercial associate,Higher education,Separated,House / apartment,Private service staff,0,1,0,360000,-17965,-2775,0,1,0,1,49,7.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,1,202500,-17223,-1432,0,0,0,3,47,4,0
M,Commercial associate,Higher education,Married,House / apartment,Managers,1,1,1,135000,-11759,-91,0,0,0,3,32,0,1
F,Commercial associate,Higher education,Married,House / apartment,Sales staff,1,0,1,108000,-16138,-431,1,0,0,3,44,1,0
F,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,1,1,0,180000,-14133,-3810,0,0,0,2,39,10.5,0
F,Working,Higher education,Civil marriage,House / apartment,Core staff,1,0,1,225000,-11501,-735,0,0,0,3,32,2,1
F,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,1,1,0,180000,-12104,-854,1,1,0,2,33,2.5,1
F,State servant,Higher education,Married,House / apartment,Core staff,0,1,2,112500,-11648,-3243,0,0,0,4,32,9,1
M,State servant,Higher education,Married,House / apartment,High skill tech staff,1,1,2,216000,-11121,-2565,0,0,0,4,30,7,1
F,Commercial associate,Higher education,Married,House / apartment,Accountants,0,1,0,270000,-21058,-2749,0,1,0,2,58,7.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,202500,-10564,-897,1,1,0,2,29,2.5,1
F,Commercial associate,Higher education,Married,House / apartment,Accountants,0,1,0,495000,-10684,-1032,0,0,0,2,29,3,1
M,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,1,0,225000,-11245,-3273,0,0,0,1,31,9,1
F,State servant,Higher education,Married,House / apartment,Core staff,0,0,2,180000,-11075,-2808,1,0,0,4,30,7.5,1
F,State servant,Secondary / secondary special,Single / not married,Other,Medicine staff,0,0,1,171261,-9673,-493,0,0,0,2,27,1.5,0
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,1,1,0,112500,-12690,-231,1,0,0,2,35,0.5,1
F,Working,Incomplete higher,Married,House / apartment,Drivers,0,1,0,157500,-14140,-2513,0,0,0,2,39,7,1
F,Working,Incomplete higher,Single / not married,Other,Core staff,0,1,1,157500,-11496,-382,0,0,0,2,31,1,1
F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Cleaning staff,0,1,0,270000,-16940,-1966,0,0,0,1,46,5.5,1
F,Working,Incomplete higher,Married,Other,Core staff,0,0,0,157500,-13943,-6407,0,0,0,2,38,17.5,1
M,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,1,0,112500,-16274,-1452,0,1,0,2,45,4,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,391500,-16995,-7264,0,0,0,2,47,20,1
F,Working,Secondary / secondary special,Married,House / apartment,Accountants,0,1,0,112500,-18575,-4113,0,0,0,2,51,11.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,0,1,0,90000,-18975,-751,1,1,0,2,52,2,1
F,Commercial associate,Secondary / secondary special,Married,Other,Laborers,0,1,1,135000,-11034,-2421,0,0,0,3,30,6.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,1,135000,-10112,-3170,1,1,0,3,28,8.5,1
F,State servant,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,90000,-19284,-2604,1,1,0,2,53,7,1
F,Working,Higher education,Married,House / apartment,Core staff,0,1,0,126000,-10075,-460,0,1,1,2,28,1.5,1
F,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,0,1,0,135000,-11375,-1236,0,0,0,1,31,3.5,1
F,Working,Secondary / secondary special,Separated,House / apartment,Laborers,1,1,0,135000,-16211,-1406,0,0,0,1,44,4,1
F,Working,Higher education,Married,House / apartment,Core staff,0,1,0,157500,-17144,-1050,0,0,1,2,47,3,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,1,0,202500,-12992,-734,1,1,0,2,36,2,1
F,Working,Secondary / secondary special,Widow,House / apartment,Core staff,0,1,0,202500,-17782,-9975,0,0,0,1,49,27.5,1
F,Working,Higher education,Married,House / apartment,Accountants,1,1,0,112500,-11353,-2316,0,0,1,2,31,6.5,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,0,1,1,225000,-14469,-504,0,0,0,2,40,1.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,0,1,0,225000,-16832,-3567,0,0,0,2,46,10,1
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,1,1,1,225000,-15443,-290,0,0,0,3,42,1,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Secretaries,0,1,0,135000,-22751,-4219,1,1,0,1,62,11.5,1
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,0,1,0,157500,-17798,-859,0,0,0,2,49,2.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Cooking staff,0,1,0,135000,-11088,-1447,0,1,0,2,30,4,1
F,Commercial associate,Higher education,Single / not married,House / apartment,Accountants,1,0,0,225000,-13941,-2988,0,1,0,1,38,8,1
M,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,1,0,1,315000,-13230,-3643,0,0,1,3,36,10,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,2,135000,-12908,-3592,0,1,0,4,35,10,1
F,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,0,0,0,122400,-20952,-1155,1,0,1,2,57,3,1
M,Working,Higher education,Married,House / apartment,Managers,1,1,0,270000,-12765,-741,0,0,1,2,35,2,1
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Medicine staff,0,0,0,180000,-10456,-1953,1,0,0,2,29,5.5,1
F,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0,1,0,202500,-19431,-6226,0,0,0,2,53,17,0
F,Working,Secondary / secondary special,Married,House / apartment,Security staff,0,1,2,135000,-12903,-4439,0,0,0,4,35,12,0
F,Working,Secondary / secondary special,Married,House / apartment,Security staff,1,1,0,247500,-16391,-1601,0,0,0,2,45,4.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Cleaning staff,0,1,1,45000,-15616,-1057,1,0,0,3,43,3,0
M,Working,Secondary / secondary special,Married,House / apartment,Managers,1,1,0,315000,-17348,-2420,0,0,0,2,48,6.5,0
M,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,1,1,2,180000,-13059,-4813,0,0,0,4,36,13,1
M,Working,Higher education,Single / not married,House / apartment,Core staff,0,0,0,126000,-12616,-1904,1,1,0,1,35,5,1
F,Commercial associate,Higher education,Married,House / apartment,Accountants,1,1,0,135000,-12013,-3973,1,0,0,2,33,11,1
M,Commercial associate,Higher education,Single / not married,Other,Sales staff,0,1,0,292500,-9990,-1221,0,1,0,1,27,3.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,0,450000,-18826,-686,0,0,0,2,52,2,1
F,Working,Higher education,Married,House / apartment,Core staff,0,1,0,157500,-17056,-10094,1,1,0,2,47,27.5,1
F,Working,Higher education,Married,House / apartment,Laborers,1,0,0,112500,-11796,-2134,0,0,0,2,32,6,0
F,State servant,Secondary / secondary special,Married,House / apartment,Managers,0,0,0,166500,-16416,-4692,0,1,0,2,45,13,1
M,Working,Secondary / secondary special,Married,House / apartment,Private service staff,0,0,0,157500,-14130,-2877,1,1,1,2,39,8,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,2,180000,-17005,-3267,0,0,0,4,47,9,1
F,Commercial associate,Incomplete higher,Single / not married,House / apartment,Accountants,0,0,0,225000,-10229,-1209,0,0,0,1,28,3.5,1
M,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0,1,0,292500,-11111,-3350,0,0,0,2,30,9,0
F,State servant,Higher education,Separated,Other,High skill tech staff,0,1,2,270000,-11342,-688,0,0,0,3,31,2,1
F,Working,Higher education,Civil marriage,Other,Sales staff,0,0,0,180000,-10000,-1071,1,0,0,2,27,3,1
F,Commercial associate,Higher education,Separated,House / apartment,Sales staff,0,1,1,225000,-15226,-1020,0,1,0,2,42,3,1
F,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,0,1,0,103500,-19039,-3240,0,0,0,2,52,9,0
F,Working,Secondary / secondary special,Widow,House / apartment,Accountants,0,0,0,225000,-20657,-5637,0,0,0,1,57,15.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,1,67500,-16581,-6959,0,0,0,3,45,19,1
F,Commercial associate,Higher education,Married,House / apartment,Managers,0,1,0,225000,-9418,-1595,0,1,0,2,26,4.5,0
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,2,99000,-14226,-1026,1,1,0,4,39,3,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Cleaning staff,0,0,0,144000,-15970,-8987,0,0,0,1,44,24.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,1,1,0,90000,-14116,-2269,0,0,0,2,39,6,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,1,2,180000,-16032,-1221,0,0,0,4,44,3.5,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Cleaning staff,0,0,0,144000,-15970,-8987,0,0,0,1,44,24.5,1
M,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,1,0,180000,-20283,-3447,0,0,0,1,56,9.5,1
F,State servant,Higher education,Married,House / apartment,Core staff,0,1,0,126000,-18888,-7347,0,0,0,2,52,20,1
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Medicine staff,1,0,1,171000,-14017,-6488,1,1,0,3,38,18,1
M,Working,Secondary / secondary special,Married,House / apartment,Managers,1,1,0,472500,-19099,-3413,0,0,0,2,52,9.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Accountants,1,0,0,144000,-15494,-3292,0,0,0,2,42,9,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,1,112500,-15213,-109,0,0,0,3,42,0.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,0,1,202500,-11813,-3266,1,1,0,3,32,9,1
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Cooking staff,1,1,0,112500,-13686,-1256,0,0,0,2,37,3.5,1
M,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,0,0,225000,-21729,-4249,1,1,1,2,60,11.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,0,0,202500,-19120,-3661,0,0,0,2,52,10,0
F,Commercial associate,Higher education,Married,House / apartment,Sales staff,0,1,0,292500,-18942,-4854,1,0,0,2,52,13.5,1
M,Commercial associate,Higher education,Married,House / apartment,Managers,0,1,0,216000,-19150,-7415,0,0,1,2,52,20.5,0
F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,0,1,0,202500,-19053,-3629,0,0,0,1,52,10,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,315000,-15653,-5500,0,0,1,2,43,15,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,0,0,0,112500,-14414,-1159,0,0,0,2,39,3,1
M,State servant,Secondary / secondary special,Single / not married,Other,Core staff,0,0,0,270000,-9649,-1996,0,0,1,1,26,5.5,1
F,Commercial associate,Higher education,Married,House / apartment,Accountants,1,0,0,315000,-19495,-1678,0,1,0,2,53,4.5,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,0,1,0,202500,-17803,-10079,0,1,0,1,49,27.5,1
F,Working,Higher education,Married,House / apartment,Core staff,0,0,0,207000,-14740,-6723,0,1,0,2,40,18.5,1
M,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,1,0,1,225000,-15243,-7260,1,1,0,3,42,20,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,1,180000,-14167,-735,0,1,0,3,39,2,1
M,Working,Secondary / secondary special,Married,House / apartment,Private service staff,0,0,0,157500,-14130,-2877,1,1,1,2,39,8,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,76500,-16139,-2180,0,0,0,2,44,6,1
M,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,1,0,2,261000,-15921,-1650,0,0,0,4,44,4.5,0
F,Working,Higher education,Separated,House / apartment,Medicine staff,1,1,1,157500,-9800,-2109,0,0,1,2,27,6,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,0,157500,-17343,-938,0,0,0,2,48,2.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,2,157500,-11209,-737,0,1,0,4,31,2,0
F,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,0,0,0,144000,-16898,-7310,1,1,0,1,46,20,1
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Core staff,1,1,2,270000,-12745,-525,0,0,1,4,35,1.5,1
M,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Security staff,1,0,0,90000,-21997,-2538,1,1,0,2,60,7,1
F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Core staff,0,0,0,99000,-16378,-370,1,0,0,1,45,1,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,0,67500,-18590,-3382,0,1,0,2,51,9.5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,1,1,0,247500,-20826,-2690,0,0,0,2,57,7.5,1
F,Commercial associate,Secondary / secondary special,Separated,Other,Cleaning staff,0,1,1,315000,-18794,-1842,0,1,0,2,51,5,1
F,Commercial associate,Higher education,Married,House / apartment,Sales staff,0,0,0,202500,-11309,-2713,1,0,0,2,31,7.5,0
F,Working,Higher education,Married,House / apartment,Accountants,1,1,0,157500,-10029,-878,0,0,0,2,27,2.5,1
M,Working,Secondary / secondary special,Civil marriage,House / apartment,Drivers,1,0,0,119250,-17542,-645,0,0,1,2,48,2,1
F,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,0,1,0,423000,-13480,-3153,0,0,0,1,37,8.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Security staff,1,1,2,225000,-15210,-4707,0,0,1,4,42,13,0
F,Commercial associate,Secondary / secondary special,Separated,House / apartment,High skill tech staff,0,0,1,135000,-15170,-7979,0,0,0,2,42,22,1
M,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,1,0,112500,-9905,-2493,0,0,0,2,27,7,1
F,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,1,0,0,135000,-19010,-6761,1,1,0,2,52,18.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,1,0,180000,-20201,-596,1,1,0,2,55,1.5,1
F,Working,Incomplete higher,Single / not married,House / apartment,Managers,0,1,0,225000,-19538,-1904,0,0,0,1,54,5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1,1,2,225000,-16084,-1382,0,0,0,4,44,4,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,0,1,1,202500,-14143,-275,0,1,0,3,39,1,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,1,0,0,292500,-19939,-6298,1,0,0,2,55,17.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,0,0,135000,-13483,-1816,1,1,0,2,37,5,1
F,Working,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,0,1,1,85500,-16525,-859,1,0,0,3,45,2.5,0
F,Working,Secondary / secondary special,Married,House / apartment,Private service staff,0,0,1,135000,-16415,-3054,0,0,1,3,45,8.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,1,112500,-18394,-5155,0,0,0,3,50,14,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,157500,-17474,-1152,0,0,0,2,48,3,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,1,270000,-17293,-203,0,1,1,3,47,0.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Cooking staff,0,1,2,112500,-12563,-1025,0,0,0,4,34,3,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,0,1,0,180000,-14279,-2939,0,0,0,1,39,8,1
F,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,0,0,1,202500,-12910,-1661,1,0,0,3,35,4.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Managers,1,1,0,180000,-12604,-2620,1,1,0,2,35,7,1
F,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,0,1,0,180000,-12946,-341,0,1,1,2,35,1,1
F,Working,Higher education,Single / not married,House / apartment,Laborers,0,1,0,157500,-22235,-10600,0,0,0,1,61,29,1
F,Working,Secondary / secondary special,Married,House / apartment,Managers,1,1,0,216000,-21216,-3641,0,0,0,2,58,10,1
M,Working,Higher education,Married,Other,Laborers,1,1,1,180000,-11917,-1680,1,0,0,3,33,4.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,1,1,144000,-8696,-1070,0,0,1,3,24,3,1
M,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,0,0,360000,-16270,-460,0,1,0,1,45,1.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,2,360000,-15812,-658,0,1,0,4,43,2,1
M,Commercial associate,Secondary / secondary special,Single / not married,Other,Laborers,1,0,0,121500,-9215,-108,0,0,0,1,25,0.5,1
F,Commercial associate,Secondary / secondary special,Married,Other,Managers,0,0,0,270000,-12819,-563,0,0,0,2,35,1.5,1
M,Working,Higher education,Married,Other,Laborers,1,1,0,238500,-12187,-2602,0,0,0,2,33,7,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1,0,0,225000,-17762,-2484,0,0,0,2,49,7,1
M,State servant,Secondary / secondary special,Married,House / apartment,Laborers,1,1,1,225000,-11695,-3929,1,0,0,3,32,11,1
F,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,0,1,1,180000,-11050,-921,0,0,0,3,30,2.5,0
M,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Laborers,0,1,0,157500,-14288,-878,0,0,0,1,39,2.5,1
F,State servant,Secondary / secondary special,Married,House / apartment,Private service staff,0,1,0,225000,-19826,-2340,0,0,0,2,54,6.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,0,0,135000,-13483,-1816,1,1,0,2,37,5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,0,1,1,225000,-16286,-1677,0,0,0,3,45,4.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,0,1,1,157500,-15350,-1331,0,1,0,3,42,3.5,1
F,State servant,Lower secondary,Widow,House / apartment,Medicine staff,0,1,0,171000,-18672,-2593,0,1,0,1,51,7,1
F,Working,Secondary / secondary special,Married,House / apartment,Managers,1,0,0,315000,-19441,-4064,0,0,0,2,53,11,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,1,1,0,112500,-20502,-4450,0,1,0,2,56,12,1
F,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,0,1,2,112500,-14351,-3592,0,0,0,3,39,10,1
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0,0,1,121500,-12716,-393,1,0,0,3,35,1,1
F,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,0,1,2,157500,-13766,-73,0,0,0,4,38,0,1
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0,0,1,112500,-14788,-2661,1,1,0,3,41,7.5,1
F,State servant,Higher education,Married,House / apartment,Managers,0,1,0,270000,-13752,-167,1,1,0,2,38,0.5,0
F,Working,Higher education,Civil marriage,Other,Laborers,0,0,1,112500,-12076,-5362,0,1,1,3,33,14.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,0,1,0,292500,-21016,-14018,0,0,0,2,58,38.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,0,2,202500,-15904,-3787,0,0,0,4,44,10.5,1
M,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,1,1,0,202500,-14333,-95,0,1,0,2,39,0.5,1
